on_diag_step,off_diag_step,train_loss,epoch,step,on_diag_epoch,off_diag_epoch
1637.607666015625,104765.328125,2161.434326171875,0,49,,
2003.968505859375,61817.921875,2313.05810546875,0,99,,
1959.96533203125,59755.3125,2258.741943359375,0,149,,
1701.064697265625,87607.4140625,2139.101806640625,0,199,,
1576.49072265625,101726.8203125,2085.124755859375,0,249,,
1487.845458984375,120892.34375,2092.30712890625,0,299,,
1717.46630859375,72163.5078125,2078.283935546875,0,349,,
1576.057861328125,83677.140625,1994.443603515625,0,399,,
1203.0264892578125,165351.15625,2029.7822265625,0,449,,
1670.06005859375,82800.578125,2084.06298828125,0,499,,
1478.55810546875,97391.25,1965.514404296875,0,549,,
1063.400146484375,160706.921875,1866.934814453125,0,599,,
1202.7791748046875,127241.78125,1838.988037109375,0,649,,
1114.9244384765625,137636.75,1803.108154296875,0,699,,
1326.3828125,92644.953125,1789.6075439453125,0,749,,
,,,0,780,1507.998779296875,112556.0703125
1278.928955078125,129433.75,1926.09765625,1,799,,
1298.070556640625,99622.2734375,1796.181884765625,1,849,,
938.8585815429688,159117.09375,1734.444091796875,1,899,,
1301.97314453125,101334.984375,1808.6480712890625,1,949,,
1089.638671875,109813.609375,1638.706787109375,1,999,,
1056.314697265625,111648.453125,1614.556884765625,1,1049,,
907.7345581054688,141784.3125,1616.6561279296875,1,1099,,
1059.8392333984375,113262.015625,1626.1492919921875,1,1149,,
887.1864013671875,120952.4296875,1491.948486328125,1,1199,,
756.2047119140625,149615.578125,1504.2825927734375,1,1249,,
837.01171875,120924.6328125,1441.6348876953125,1,1299,,
817.4689331054688,123213.4453125,1433.5361328125,1,1349,,
1079.859130859375,100017.890625,1579.9486083984375,1,1399,,
902.58837890625,118024.8359375,1492.7125244140625,1,1449,,
841.8534545898438,127957.015625,1481.638427734375,1,1499,,
795.585205078125,110269.8125,1346.934326171875,1,1549,,
,,,1,1561,928.8251342773438,123474.1328125
752.6106567382812,111883.703125,1312.0291748046875,2,1599,,
613.4969482421875,122154.5,1224.2694091796875,2,1649,,
865.888427734375,103993.5234375,1385.85595703125,2,1699,,
845.2781982421875,109927.296875,1394.9146728515625,2,1749,,
1065.785400390625,97799.09375,1554.7808837890625,2,1799,,
788.2662353515625,108337.421875,1329.953369140625,2,1849,,
711.4524536132812,124602.5234375,1334.465087890625,2,1899,,
831.559326171875,108114.0078125,1372.12939453125,2,1949,,
587.4061889648438,128205.359375,1228.4329833984375,2,1999,,
676.01953125,123514.625,1293.5926513671875,2,2049,,
852.9650268554688,106557.4375,1385.752197265625,2,2099,,
570.714599609375,126621.890625,1203.823974609375,2,2149,,
820.2471313476562,107292.796875,1356.711181640625,2,2199,,
790.5364990234375,106940.2734375,1325.23779296875,2,2249,,
975.154541015625,87759.453125,1413.9517822265625,2,2299,,
,,,2,2342,752.709716796875,115378.53125
680.3729858398438,107909.609375,1219.9210205078125,3,2349,,
890.2498779296875,85347.984375,1316.98974609375,3,2399,,
590.6787109375,121057.0625,1195.9639892578125,3,2449,,
597.093017578125,126152.6796875,1227.8564453125,3,2499,,
792.5589599609375,94146.1875,1263.2899169921875,3,2549,,
627.2283935546875,113245.8671875,1193.457763671875,3,2599,,
710.2056884765625,104210.7265625,1231.25927734375,3,2649,,
820.623291015625,99451.328125,1317.8798828125,3,2699,,
767.4033203125,106344.84375,1299.12744140625,3,2749,,
649.3111572265625,115815.328125,1228.3876953125,3,2799,,
624.97509765625,116124.8515625,1205.599365234375,3,2849,,
588.501220703125,121328.03125,1195.141357421875,3,2899,,
684.3592529296875,107721.90625,1222.96875,3,2949,,
623.756103515625,106042.9453125,1153.9708251953125,3,2999,,
698.6458740234375,104748.28125,1222.38720703125,3,3049,,
494.5,115499.609375,1071.998046875,3,3099,,
,,,3,3123,660.001708984375,110763.25
522.3194580078125,115714.328125,1100.89111328125,4,3149,,
481.7279052734375,111306.71875,1038.261474609375,4,3199,,
813.135498046875,101591.8671875,1321.0948486328125,4,3249,,
673.4105224609375,93068.765625,1138.75439453125,4,3299,,
864.5699462890625,89593.625,1312.5380859375,4,3349,,
573.8307495117188,107235.6953125,1110.00927734375,4,3399,,
549.666259765625,109770.765625,1098.52001953125,4,3449,,
781.8869018554688,97168.25,1267.7281494140625,4,3499,,
432.2032165527344,113093.921875,997.6728515625,4,3549,,
510.9810791015625,115764.03125,1089.80126953125,4,3599,,
675.3185424804688,91261.328125,1131.625244140625,4,3649,,
586.159912109375,106661.390625,1119.466796875,4,3699,,
657.5106811523438,103288.171875,1173.9515380859375,4,3749,,
515.8143310546875,115319.3125,1092.410888671875,4,3799,,
484.896484375,111271.484375,1041.25390625,4,3849,,
753.4742431640625,95638.0,1231.664306640625,4,3899,,
,,,4,3904,601.9226684570312,106898.5234375
453.7747497558594,114132.7109375,1024.438232421875,5,3949,,
558.3785400390625,97901.0625,1047.8837890625,5,3999,,
593.422607421875,97079.40625,1078.819580078125,5,4049,,
